,name,stars,forks,language,license
582,fullPage.js,35415,7259,JavaScript,GPL-3.0
583,lapce,35408,1093,Rust,Apache-2.0
584,cli,35369,3706,Python,BSD-3-Clause
585,halo,35367,9880,Java,GPL-3.0
586,lottie-android,35299,5438,Java,Apache-2.0
587,typeorm,35245,6392,TypeScript,MIT
588,compose,35234,5375,Go,Apache-2.0
589,955.WLB,35195,1762,,
590,nativefier,35151,2220,TypeScript,MIT
591,carbon,35090,1943,JavaScript,MIT
592,awesome-react-native,35085,4009,JavaScript,
593,hackathon-starter,34989,8178,JavaScript,MIT
594,HanLP,34952,10559,Python,Apache-2.0
595,nushell,34894,1805,Rust,MIT
596,the-way-to-go_ZH_CN,34872,8608,Go,
597,glide,34855,6155,Java,NOASSERTION
598,Langchain-Chatchat,34810,5861,TypeScript,Apache-2.0
599,vim-plug,34798,1952,Vim Script,MIT
600,windows,34606,2477,Shell,MIT
601,faiss,34555,3847,C++,MIT
602,TaskMatrix,34493,3297,Python,NOASSERTION
603,marked,34476,3444,JavaScript,NOASSERTION
604,chatbox,34452,3287,TypeScript,GPL-3.0
605,node-v0.x-archive,34409,7297,,
606,payload,34383,2358,TypeScript,MIT
607,spacedrive,34357,1042,TypeScript,AGPL-3.0
608,milvus,34338,3171,Go,Apache-2.0
609,caffe,34325,18634,C++,NOASSERTION
610,formik,34238,2806,TypeScript,Apache-2.0
611,REKCARC-TSC-UHT,34221,7692,HTML,CC-BY-SA-4.0
612,awesome-shell,34186,2411,,CC0-1.0
613,awesome-javascript,34175,4459,,
614,clipboard.js,34131,3965,JavaScript,MIT
615,siyuan,34112,2085,TypeScript,AGPL-3.0
616,legado,34101,4280,Kotlin,GPL-3.0
617,gold-miner,34071,5044,,
618,netty,34069,16067,Java,Apache-2.0
619,12306,34030,9765,Python,MIT
620,jieba,34023,6734,Python,MIT
621,sqlmap,33985,5868,Python,NOASSERTION
622,pytorch-image-models,33948,4899,Python,Apache-2.0
623,AgentGPT,33901,9397,TypeScript,GPL-3.0
624,react-beautiful-dnd,33846,2709,JavaScript,NOASSERTION
625,leetcode,33779,9043,Java,CC-BY-SA-4.0
626,Coursera-ML-AndrewNg-Notes,33762,10861,HTML,
627,shadowsocks,33637,18486,Python,
628,spring-boot-demo,33606,10969,Java,MIT
629,fastify,33603,2401,JavaScript,NOASSERTION
630,NewPipe,33603,3179,Java,GPL-3.0
631,AndroidUtilCode,33550,10710,Java,Apache-2.0
632,framework,33530,11326,PHP,MIT
633,HEU_KMS_Activator,33518,3362,,
634,LeetCode-Go,33483,5776,Go,MIT
635,solid,33457,963,TypeScript,MIT
636,AFNetworking,33444,10474,Objective-C,MIT
637,husky,33410,1048,JavaScript,MIT
638,system-prompts-and-models-of-ai-tools,33410,10284,,GPL-3.0
639,easyexcel,33322,7636,Java,Apache-2.0
640,polars,33300,2191,Rust,NOASSERTION
641,LLM101n,33279,1814,,
642,zxing,33249,9387,Java,Apache-2.0
643,XX-Net,33234,7654,Python,
644,brackets,33223,7586,JavaScript,MIT
645,linux-command,33170,6341,Markdown,MIT
646,JavaScript,33119,5694,JavaScript,GPL-3.0
647,gulp,33086,4222,JavaScript,MIT
648,poetry,33063,2342,Python,MIT
649,immutable-js,33049,1782,TypeScript,MIT
650,Python,33001,12512,Python,MIT
651,engineering-blogs,32985,1758,Ruby,
652,winutil,32921,1844,PowerShell,MIT
653,ijkplayer,32842,8182,C,GPL-2.0
654,carbon-lang,32810,1492,C++,NOASSERTION
655,zsh-autosuggestions,32797,1894,Shell,MIT
656,portainer,32769,2578,TypeScript,Zlib
657,bruno,32744,1556,JavaScript,MIT
658,ShadowsocksX-NG,32716,7918,Swift,GPL-3.0
659,Umi-OCR,32658,3301,Python,MIT
660,harness,32642,2841,Go,Apache-2.0
661,gpt-pilot,32634,3311,Python,NOASSERTION
662,awesome-awesomeness,32535,3574,Ruby,
663,How-To-Ask-Questions-The-Smart-Way,32455,5710,JavaScript,MIT
664,RevokeMsgPatcher,32419,3626,C#,GPL-3.0
665,mattermost,32393,7739,TypeScript,NOASSERTION
666,openpose,32358,7949,C++,NOASSERTION
667,MinerU,32339,2569,Python,AGPL-3.0
668,vault,32296,4346,Go,NOASSERTION
669,material-design-lite,32293,4997,HTML,Apache-2.0
670,full-stack-fastapi-template,32242,6020,TypeScript,MIT
671,selenium,32182,8423,Java,Apache-2.0
672,LocalAI,32167,2450,Go,MIT
673,ShareX,32164,3361,C#,GPL-3.0
674,ControlNet,32155,2878,Python,Apache-2.0
675,certbot,32141,3430,Python,NOASSERTION
676,llvm-project,32131,13320,LLVM,NOASSERTION
677,AnotherRedisDesktopManager,32131,2630,JavaScript,MIT
678,swc,32129,1280,Rust,Apache-2.0
679,jax,32061,2993,Python,Apache-2.0
680,Free-Certifications,32051,2282,,MIT
681,aider,32042,2886,Python,Apache-2.0
682,run,32033,2619,,CC-BY-SA-4.0
683,beego,32027,5633,Go,NOASSERTION
684,awesome-docker,31989,3084,,Apache-2.0
685,OpenVoice,31974,3267,Python,MIT
686,my-tv,31963,3580,C,
687,awesome-deepseek-integration,31953,3487,,CC0-1.0
688,chatgpt-web,31947,11209,Vue,MIT
689,shardeum,31916,681,TypeScript,MIT
690,modern-unix,31886,799,,
691,detectron2,31839,7644,Python,Apache-2.0
692,aseprite,31824,6964,C++,
693,outline,31810,2551,TypeScript,NOASSERTION
694,nps,31747,5748,Go,GPL-3.0
695,android-open-project,31724,11910,,Apache-2.0
696,C-Plus-Plus,31685,7354,C++,MIT
697,HowToLiveLonger,31645,2194,,Unlicense
698,jq,31613,1617,C,NOASSERTION
699,serenity,31567,3232,C++,BSD-2-Clause
700,awesome-php,31520,5107,,WTFPL
701,yew,31505,1440,Rust,Apache-2.0
702,remote-jobs,31497,3310,JavaScript,CC0-1.0
703,graphql-engine,31490,2798,TypeScript,Apache-2.0
704,spaCy,31468,4496,Python,MIT
705,pnpm,31458,1107,TypeScript,MIT
706,learnGitBranching,31441,5822,JavaScript,MIT
707,manim,31426,2209,Python,MIT
708,swr,31382,1266,TypeScript,MIT
709,fairseq,31371,6502,Python,MIT
710,nacos,31260,12993,Java,Apache-2.0
711,cobalt,31247,2608,Svelte,AGPL-3.0
712,rxjs,31236,3007,TypeScript,Apache-2.0
713,vimrc,31196,7310,Vim Script,MIT
714,html2canvas,31193,4867,TypeScript,MIT
715,pytorch-tutorial,31190,8200,Python,MIT
716,etcher,31173,2203,TypeScript,Apache-2.0
717,remix,31135,2625,TypeScript,MIT
718,MS-DOS,31133,4454,Assembly,MIT
719,rufus,31122,2731,C,GPL-3.0
720,lottie-web,31065,2904,JavaScript,MIT
721,floating-ui,31061,1627,TypeScript,MIT
722,chatbot-ui,31059,8743,TypeScript,MIT
723,CyberChef,31030,3480,JavaScript,Apache-2.0
724,bubbletea,30996,892,Go,MIT
725,WxJava,30992,8843,Java,Apache-2.0
726,stats,30982,976,Swift,MIT
727,Blog,30981,4697,,
728,v2ray-core,30966,4800,Go,MIT
729,bulletproof-react,30949,2809,TypeScript,MIT
730,tabby,30947,1454,Rust,NOASSERTION
731,jQuery-File-Upload,30927,7903,PHP,MIT
732,echo,30918,2268,Go,MIT
733,Reactive-Resume,30916,3198,TypeScript,MIT
734,qBittorrent,30911,4170,C++,NOASSERTION
735,mmdetection,30893,9641,Python,Apache-2.0
736,lossless-cut,30854,1451,TypeScript,GPL-2.0
737,fabric,30838,3190,Go,MIT
738,go-zero,30831,4087,Go,MIT
739,cockroach,30787,3893,Go,NOASSERTION
740,YesPlayMusic,30784,4490,Vue,MIT
741,dotfiles,30736,8718,Shell,MIT
742,Real-ESRGAN,30701,3812,Python,BSD-3-Clause
743,refine,30700,2449,TypeScript,MIT
744,crewAI,30639,4102,Python,MIT
745,slate,30625,3287,TypeScript,MIT
746,ruoyi-vue-pro,30625,6592,Java,MIT
747,p3c,30624,8065,Kotlin,Apache-2.0
748,lede,30602,19581,C,NOASSERTION
749,linux-insides,30600,3391,Python,NOASSERTION
750,libpku,30590,8242,TeX,
751,awesome-cto,30563,1867,,CC0-1.0
752,mpv,30459,3030,C,NOASSERTION
753,spring-boot-examples,30442,12343,Java,
754,puter,30404,2281,JavaScript,AGPL-3.0
755,dokku,30374,1965,Shell,MIT
756,NeteaseCloudMusicApi,30326,15837,,
757,symfony,30320,9596,PHP,MIT
758,Sortable,30313,3729,JavaScript,MIT
759,sharp,30306,1326,JavaScript,Apache-2.0
760,minikube,30295,4966,Go,Apache-2.0
761,calculator,30268,5533,C++,MIT
762,servo,30254,3159,Rust,MPL-2.0
763,data-engineering-zoomcamp,30251,6447,Jupyter Notebook,
764,backstage,30178,6468,TypeScript,Apache-2.0
765,interactive-coding-challenges,30165,4533,Python,NOASSERTION
766,jsPDF,30124,4722,JavaScript,MIT
767,layui,30113,7416,JavaScript,MIT
768,webtorrent,30106,2756,JavaScript,MIT
769,directus,30069,4172,TypeScript,NOASSERTION
770,editor.js,30052,2143,TypeScript,Apache-2.0
771,HEAD,30043,1922,,
772,netron,30041,2886,JavaScript,MIT
773,croc,30033,1197,Go,MIT
774,paper-reading,30024,2633,,Apache-2.0
775,awesome-llm-apps,30001,3355,Python,Apache-2.0
776,kafka,29971,14327,Java,Apache-2.0
777,stanford_alpaca,29961,4052,Python,Apache-2.0
778,ghostty,29958,799,Zig,MIT
779,fabric.js,29958,3570,TypeScript,NOASSERTION
780,sequelize,29952,4299,TypeScript,MIT
781,tiptap,29944,2457,TypeScript,MIT
782,influxdb,29931,3601,Rust,Apache-2.0
783,comprehensive-rust,29865,1781,Rust,Apache-2.0
784,AI-Expert-Roadmap,29790,2520,JavaScript,MIT
785,hutool,29775,7576,Java,NOASSERTION
786,MonitorControl,29761,854,Swift,MIT
787,vue-cli,29754,6333,JavaScript,MIT
788,foundation-sites,29753,5471,HTML,MIT
789,uppy,29727,2048,TypeScript,MIT
790,tqdm,29725,1378,Python,NOASSERTION
791,GPTs,29725,4022,,
792,Hello-Python,29695,1909,Python,Apache-2.0
793,roop,29681,6725,Python,GPL-3.0
794,leakcanary,29670,3979,Kotlin,Apache-2.0
795,OpenAPI-Specification,29650,9130,Markdown,Apache-2.0
796,fish-shell,29632,2056,Rust,NOASSERTION
797,rocksdb,29579,6466,C++,GPL-2.0
798,project-guidelines,29562,3213,JavaScript,MIT
799,cursor,29552,1859,,
800,khoj,29550,1646,Python,AGPL-3.0
801,react-boilerplate,29525,6112,JavaScript,MIT
802,particles.js,29523,4855,JavaScript,MIT
803,CasaOS,29516,1604,Go,Apache-2.0
804,k9s,29514,1870,Go,Apache-2.0
805,alpine,29512,1285,HTML,MIT
806,Mr.-Ranedeer-AI-Tutor,29507,3372,,
807,phantomjs,29505,5750,C++,BSD-3-Clause
808,mediapipe,29505,5329,C++,Apache-2.0
809,awesome-macos-command-line,29464,1441,,
810,apollo,29461,10221,Java,Apache-2.0
811,500lines,29456,5869,JavaScript,NOASSERTION
812,k3s,29445,2423,Go,Apache-2.0
813,GPT_API_free,29393,2127,Python,MIT
814,CheatSheetSeries,29392,4124,Python,CC-BY-SA-4.0
815,cheerio,29383,1669,TypeScript,MIT
816,pytorch-lightning,29363,3483,Python,Apache-2.0
817,server,29361,4254,PHP,AGPL-3.0
818,numpy,29353,10763,Python,NOASSERTION
819,Hover,29342,5760,SCSS,NOASSERTION
820,algo,29339,2343,Jinja,AGPL-3.0
821,awesome-python-cn,29337,7971,Makefile,NOASSERTION
822,Data-Science-For-Beginners,29326,6120,Jupyter Notebook,MIT
823,standard,29311,2320,JavaScript,MIT
824,folly,29297,5686,C++,Apache-2.0
825,vnpy,29275,9505,Python,MIT
826,lux,29234,3121,Go,MIT
827,es6features,29214,2859,,MIT
828,desktop,29210,798,JavaScript,MPL-2.0
829,docsify,29204,5731,JavaScript,MIT
830,surrealdb,29170,981,Rust,NOASSERTION
831,xyflow,29102,1893,TypeScript,MIT
832,COVID-19,29095,18307,,
833,weekly,29093,3249,JavaScript,
834,UTM,29062,1439,Swift,Apache-2.0
835,django-rest-framework,29057,6928,Python,NOASSERTION
836,canal,29037,7660,Java,Apache-2.0
837,css-protips,29024,2198,,CC0-1.0
838,swift-algorithm-club,29014,5004,Swift,MIT
839,Retrieval-based-Voice-Conversion-WebUI,28964,4072,Python,MIT
840,composer,28943,4618,PHP,MIT
841,consul,28937,4465,Go,NOASSERTION
842,hey,28935,1735,TypeScript,AGPL-3.0
843,lighthouse,28925,9501,JavaScript,Apache-2.0
844,it-tools,28901,3455,Vue,GPL-3.0
845,python-guide,28876,5867,Batchfile,NOASSERTION
846,anoma,28806,3831,Elixir,MIT
847,todomvc,28773,13749,JavaScript,NOASSERTION
848,postcss,28770,1578,TypeScript,MIT
849,filebrowser,28768,3240,Go,Apache-2.0
850,SpringAll,28765,8179,Java,MIT
851,diffusers,28754,5898,Python,Apache-2.0
852,DevToys,28726,1544,C#,MIT
853,awesome-sysadmin,28722,1680,,NOASSERTION
854,handson-ml2,28720,12982,Jupyter Notebook,Apache-2.0
855,react-three-fiber,28709,1682,TypeScript,MIT
856,medusa,28705,3209,TypeScript,MIT
857,Clone-Wars,28704,2561,,AGPL-3.0
858,duckdb,28698,2253,C++,MIT
859,CLIP,28687,3569,Jupyter Notebook,MIT
860,jan,28670,1693,TypeScript,AGPL-3.0
861,xxl-job,28661,11146,Java,GPL-3.0
862,tinygrad,28639,3313,Python,MIT
863,llama3,28638,3368,Python,NOASSERTION
864,react-spring,28637,1206,TypeScript,MIT
865,slick,28633,5878,JavaScript,MIT
866,stb,28622,7807,C,NOASSERTION
867,linkedin-skill-assessments-quizzes,28620,13232,,AGPL-3.0
868,plyr,28593,3069,JavaScript,MIT
869,tuning_playbook,28587,2345,,NOASSERTION
870,drawdb,28534,2009,JavaScript,AGPL-3.0
871,trilium,28530,1933,JavaScript,AGPL-3.0
872,ink,28502,656,TypeScript,MIT
873,vuex,28463,9561,JavaScript,MIT
874,tokio,28449,2608,Rust,MIT
875,machine-learning-for-software-engineers,28446,6227,,CC-BY-SA-4.0
876,glances,28441,1579,Python,NOASSERTION
877,mantine,28425,2023,TypeScript,MIT
878,spring-cloud-alibaba,28420,8405,Java,Apache-2.0
879,programmer-job-blacklist,28413,1812,Shell,MIT
880,restic,28400,1601,Go,BSD-2-Clause
881,docling,28390,1736,Python,MIT
882,viper,28390,2050,Go,MIT
883,textual,28381,879,Python,MIT
884,android_guides,28373,6322,,MIT
885,OCRmyPDF,28351,1914,Python,MPL-2.0
886,JavaScript30,28334,39178,HTML,
887,motion,28307,950,TypeScript,MIT
888,Complete-Python-3-Bootcamp,28293,86487,Jupyter Notebook,
889,immer,28283,862,JavaScript,MIT
890,async,28238,2403,JavaScript,MIT
891,the-super-tiny-compiler,28215,2879,JavaScript,CC-BY-4.0
892,os-tutorial,28160,3372,C,BSD-3-Clause
893,Xray-core,28159,4228,Go,MPL-2.0
894,xstate,28137,1298,TypeScript,MIT
895,data-science-ipython-notebooks,28133,7971,Python,NOASSERTION
896,druid,28132,8589,Java,Apache-2.0
897,reverse-interview,28129,2119,,NOASSERTION
898,backbone,28113,5368,JavaScript,MIT
899,DeepFaceLive,28088,439,Python,GPL-3.0
900,AdGuardHome,28087,1984,Go,GPL-3.0
901,nginxconfig.io,28075,2072,JavaScript,MIT
902,1Panel,28062,2437,Go,GPL-3.0
903,ChatGPT,28048,4487,Python,GPL-2.0
904,Jobs_Applier_AI_Agent_AIHawk,28023,4189,Python,AGPL-3.0
905,wails,27981,1361,Go,MIT
906,hosts,27979,2309,Python,MIT
907,mem0,27947,2670,Python,Apache-2.0
908,vue-vben-admin,27920,7575,Vue,MIT
909,TrackersListCollection,27918,1675,,GPL-3.0
910,applied-ml,27908,3744,,MIT
911,react-select,27897,4145,TypeScript,MIT
912,90DaysOfDevOps,27870,6433,Shell,NOASSERTION
913,mobx,27851,1783,TypeScript,MIT
914,exo,27850,1728,Python,GPL-3.0
915,gitbook,27845,3952,TypeScript,GPL-3.0
916,waifu2x,27842,2704,Lua,MIT
917,Charts,27838,6028,Swift,Apache-2.0
918,mindsdb,27834,4960,Python,NOASSERTION
919,helm,27795,7212,Go,Apache-2.0
920,dragonfly,27778,1030,C++,NOASSERTION
921,vhr,27736,10304,Java,
922,firecracker,27734,1915,Rust,Apache-2.0
923,drizzle-orm,27734,840,TypeScript,Apache-2.0
924,twenty,27679,3066,TypeScript,NOASSERTION
925,ResumeSample,27615,8979,,
926,python-fire,27604,1449,Python,NOASSERTION
927,Python-programming-exercises,27589,6891,,
928,data-engineer-handbook,27571,5631,Jupyter Notebook,
929,yapi,27568,4824,JavaScript,Apache-2.0
930,turborepo,27538,1973,Rust,MIT
931,aos,27494,2633,JavaScript,MIT
932,Daily-Interview-Question,27489,3283,JavaScript,
933,dnSpy,27479,5260,C#,
934,Avalonia,27463,2365,C#,MIT
935,tdesktop,27451,5499,C++,NOASSERTION
936,headscale,27436,1469,Go,BSD-3-Clause
937,k6,27411,1343,Go,AGPL-3.0
938,underscore,27389,5503,JavaScript,MIT
939,python-telegram-bot,27387,5621,Python,GPL-3.0
940,rust-course,27376,2378,Rust,
941,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27330,7922,Jupyter Notebook,MIT
942,Web,27314,6220,,NOASSERTION
943,weui,27306,6387,HTML,NOASSERTION
944,jumpserver,27305,5462,Python,GPL-3.0
945,swagger-ui,27275,9065,JavaScript,Apache-2.0
946,commander.js,27263,1707,JavaScript,MIT
947,redash,27242,4458,Python,BSD-2-Clause
948,openssl,27241,10506,C,Apache-2.0
949,Tvlist-awesome-m3u-m3u8,27227,3236,,
950,headlessui,27213,1118,TypeScript,MIT
951,mongoose,27201,3862,JavaScript,MIT
952,kitty,27184,1065,Python,GPL-3.0
953,vscodium,27138,1254,Shell,MIT
954,dioxus,27127,1081,Rust,Apache-2.0
955,JCSprout,27103,7070,Java,MIT
956,mongo,27075,5648,C++,NOASSERTION
957,taichi,27030,2339,C++,Apache-2.0
958,codemirror5,27027,4967,JavaScript,MIT
959,coder2gwy,27021,3721,,
960,kit,26980,2459,Go,MIT
961,ExplorerPatcher,26980,1116,C,GPL-2.0
962,create-t3-app,26975,1297,TypeScript,MIT
963,so-vits-svc,26962,4970,Python,AGPL-3.0
964,legacy-homebrew,26957,11269,,
965,ace,26934,5295,JavaScript,NOASSERTION
966,Signal-Android,26914,6382,Kotlin,AGPL-3.0
967,angular-cli,26897,11976,TypeScript,MIT
968,fastai,26896,7589,Jupyter Notebook,Apache-2.0
969,rethinkdb,26874,1848,C++,NOASSERTION
970,xgboost,26864,8766,C++,Apache-2.0
971,paperless-ngx,26853,1567,Python,GPL-3.0
972,Rectangle,26848,819,Swift,NOASSERTION
973,keycloak,26830,7234,Java,Apache-2.0
974,srs,26806,5491,C++,MIT
975,gitflow,26801,2670,Shell,NOASSERTION
976,Faker,26799,3588,PHP,MIT
977,hangzhou_house_knowledge,26784,5285,CSS,
978,spleeter,26766,2921,Python,MIT
979,react-virtualized,26754,3070,JavaScript,MIT
980,ChatDev,26748,3375,Python,Apache-2.0
981,cascadia-code,26724,819,Python,NOASSERTION
982,nginx,26698,7265,C,BSD-2-Clause
983,30-Days-Of-React,26667,7609,JavaScript,
984,next-auth,26626,3801,TypeScript,ISC
985,GoodbyeDPI,26620,1998,C,Apache-2.0
986,vagrant,26611,4444,Ruby,NOASSERTION
987,ai-hedge-fund,26589,4572,Python,MIT
988,gkd,26569,1328,Kotlin,GPL-3.0
989,nodemon,26529,1738,JavaScript,MIT
990,podman,26524,2606,Go,Apache-2.0
991,quasar,26516,3597,JavaScript,MIT
992,supervision,26509,2002,Python,MIT
993,the_silver_searcher,26504,1431,C,Apache-2.0
994,hacker-laws,26489,1555,HTML,CC-BY-SA-4.0
995,openai-python,26472,3829,Python,Apache-2.0
996,EasyOCR,26459,3311,Python,Apache-2.0
997,llm.c,26444,3045,Cuda,MIT
998,emscripten,26429,3386,C++,NOASSERTION
999,MoneyPrinterTurbo,26380,3886,Python,MIT
1000,refined-github,26379,1556,TypeScript,MIT
1001,awesome-vscode,26377,1266,JavaScript,CC0-1.0
1002,iced,26374,1287,Rust,MIT
1003,awesome-github-profile-readme,26364,3948,,CC0-1.0
1004,cmder,26347,2056,C++,MIT
1005,miaosha,26341,6621,Java,
1006,Detectron,26340,5446,Python,Apache-2.0
1007,awesome-electron,26329,2029,,CC0-1.0
1008,fyne,26306,1434,Go,NOASSERTION
1009,table,26299,3164,TypeScript,MIT
1010,nprogress,26294,1806,JavaScript,MIT
1011,Open-Sora,26279,2531,Python,Apache-2.0
1012,DeepSpeech,26274,4041,C++,MPL-2.0
1013,go-patterns,26209,2257,Go,Apache-2.0
1014,awesome-datascience,26205,6049,,MIT
1015,lottie-ios,26204,3786,Swift,Apache-2.0
1016,celery,26192,4772,Python,NOASSERTION
1017,fastText,26178,4760,HTML,MIT
1018,wiki,26154,2903,Vue,AGPL-3.0
1019,darknet,26138,21317,C,NOASSERTION
