,name,stars,forks,language,license
44,react-native,121706,24606,C++,MIT
45,scrcpy,121175,11412,C,Apache-2.0
46,PowerToys,117787,6962,C#,MIT
47,electron,116534,16006,C++,MIT
48,kubernetes,114697,40447,Go,Apache-2.0
49,free-programming-books-zh_CN,113466,28302,,GPL-3.0
50,hello-algo,111952,13941,Java,NOASSERTION
51,node,110816,31393,JavaScript,NOASSERTION
52,d3,110468,22870,Shell,ISC
53,yt-dlp,109584,8601,Python,Unlicense
54,axios,106740,11132,JavaScript,MIT
55,langchain,106420,17295,Jupyter Notebook,MIT
56,three.js,105907,35721,JavaScript,MIT
57,TypeScript,104190,12815,TypeScript,Apache-2.0
58,create-react-app,103179,27008,JavaScript,MIT
59,rust,103044,13288,Rust,NOASSERTION
60,deno,102770,5566,Rust,MIT
61,nodebestpractices,102433,10416,Dockerfile,CC-BY-SA-4.0
62,HelloGitHub,101964,9909,Python,
63,excalidraw,98380,9560,TypeScript,MIT
64,terminal,97828,8535,C++,MIT
65,angular,97593,26152,TypeScript,MIT
66,godot,96623,22235,C++,MIT
67,DeepSeek-V3,96120,15637,Python,MIT
68,material-ui,95444,32553,TypeScript,MIT
69,free-for-dev,95012,10275,HTML,
70,dify,94418,14105,TypeScript,NOASSERTION
71,ant-design,94408,52096,TypeScript,MIT
72,frp,93133,13950,Go,Apache-2.0
73,clean-code-javascript,92837,12418,JavaScript,MIT
74,iptv,92774,3427,TypeScript,Unlicense
75,papers-we-love,92605,5912,Shell,
76,tauri,91876,2819,Rust,Apache-2.0
77,Awesome-Hacking,91716,9235,,CC0-1.0
78,thefuck,91657,3682,Python,MIT
79,open-webui,91502,11571,JavaScript,BSD-3-Clause
80,java-design-patterns,91387,26935,Java,NOASSERTION
81,puppeteer,90490,9197,TypeScript,Apache-2.0
82,pytorch,89416,23976,Python,NOASSERTION
83,vue-element-admin,89206,30578,Vue,MIT
84,neovim,88986,6050,Vim Script,NOASSERTION
85,DeepSeek-R1,88866,11493,,MIT
86,Web-Dev-For-Beginners,87517,13190,JavaScript,MIT
87,tailwindcss,87428,4502,TypeScript,MIT
88,rustdesk,87421,12406,Rust,AGPL-3.0
89,every-programmer-should-know,86958,7999,,CC-BY-4.0
90,storybook,86477,9520,TypeScript,MIT
91,n8n,86327,23377,TypeScript,NOASSERTION
92,ui,85982,5822,TypeScript,MIT
93,nvm,84177,8716,Shell,MIT
94,fastapi,83784,7268,Python,MIT
95,django,83318,32530,Python,BSD-3-Clause
96,bitcoin,83051,37122,C++,MIT
97,app-ideas,83027,9682,,MIT
98,NextChat,83020,61161,TypeScript,MIT
99,svelte,82396,4487,JavaScript,MIT
100,awesome-mac,82345,6488,JavaScript,CC0-1.0
101,gin,81941,8180,Go,MIT
102,opencv,81887,56150,C++,Apache-2.0
103,animate.css,81629,16224,CSS,NOASSERTION
104,supabase,81600,8390,TypeScript,Apache-2.0
105,realworld,81491,7430,TypeScript,MIT
106,HowToCook,81019,9691,Dockerfile,Unlicense
107,whisper,80723,9696,Python,MIT
108,laravel,80710,24326,Blade,
109,generative-ai-for-beginners,80149,41383,Jupyter Notebook,MIT
110,mall,80061,29211,Java,Apache-2.0
111,hugo,80044,7772,Go,Apache-2.0
112,llama.cpp,78834,11525,C++,MIT
113,FiraCode,78821,3133,Clojure,OFL-1.1
114,v2rayN,78753,12534,C#,GPL-3.0
